16.4612 	INFO 	Loaded monitor calibration from ['2024_08_09 11:02']
18.8447 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000024DC1595CC0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000024DC1595C60>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000024DC1594880>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000024DC16347C0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
18.8449 	EXP 	window1: backgroundImage = ''
18.8449 	EXP 	window1: backgroundFit = 'none'
18.8454 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000024DC1595DE0>
18.8457 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000024DC1595DE0>
18.8577 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000024DC1595DE0>
18.8595 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000024DC1595DE0>
18.9878 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000024DC1595DE0>
18.9880 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000024DC1595DE0>
18.9897 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000024DC1595DE0>
18.9921 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000024DC1595DE0>
19.0726 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
19.0727 	EXP 	window1: recordFrameIntervals = False
19.2607 	EXP 	window1: recordFrameIntervals = True
19.3495 	WARNING 	t of last frame was 22.51ms (=1/44)
19.5271 	EXP 	Screen (0) actual frame rate measured at 60.13Hz
19.5271 	EXP 	window1: recordFrameIntervals = False
19.5274 	EXP 	window1: mouseVisible = True
27.9934 	INFO 	keyboard.Keyboard is using iohub backend.
27.9935 	EXP 	word priming: status = STARTED
27.9943 	EXP 	window1: mouseVisible = True
28.0608 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
28.1089 	EXP 	window1: mouseVisible = True
28.1175 	EXP 	window1: mouseVisible = True
28.1178 	EXP 	window1: mouseVisible = True
28.1191 	EXP 	window1: mouseVisible = True
28.1204 	EXP 	window1: mouseVisible = True
28.1595 	EXP 	window1: mouseVisible = True
28.1598 	EXP 	window1: mouseVisible = True
28.1611 	EXP 	window1: mouseVisible = True
28.1624 	EXP 	window1: mouseVisible = True
28.2003 	EXP 	window1: mouseVisible = True
28.2006 	EXP 	window1: mouseVisible = True
28.2021 	EXP 	window1: mouseVisible = True
28.2034 	EXP 	window1: mouseVisible = True
28.2479 	EXP 	window1: mouseVisible = True
28.2481 	EXP 	window1: mouseVisible = True
28.2497 	EXP 	window1: mouseVisible = True
28.2510 	EXP 	window1: mouseVisible = True
28.2843 	EXP 	window1: mouseVisible = True
28.3347 	EXP 	window1: mouseVisible = True
28.3681 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05000000000000001, labelWrapWidth=None, labels=['Familiar', 'Unfamiliar'], lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.3]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
28.3684 	EXP 	window1: mouseVisible = True
28.3701 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
28.3706 	EXP 	window1: mouseVisible = True
28.3708 	EXP 	window1: mouseVisible = True
28.3725 	EXP 	window1: mouseVisible = True
28.3749 	EXP 	window1: mouseVisible = True
28.4083 	EXP 	window1: mouseVisible = True
28.4085 	EXP 	window1: mouseVisible = True
28.4101 	EXP 	window1: mouseVisible = True
28.4114 	EXP 	window1: mouseVisible = True
28.4747 	EXP 	window1: mouseVisible = True
28.6530 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05000000000000001, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([ 0. , -0.3]), rgb=UNKNOWN, text='Click to submit', units='height', win=Window(...), wrapWidth=1)
0.0185 	EXP 	slider: autoLog = True
0.0185 	EXP 	slider: styleTweaks = []
0.0185 	EXP 	slider: styleTweaks = []
0.0185 	EXP 	slider: styleTweaks = []
0.0185 	EXP 	slider: styleTweaks = []
0.0185 	EXP 	slider: contrast = 1.0
0.0185 	EXP 	slider: markerPos = None
0.0185 	EXP 	slider: autoLog = True
0.0185 	EXP 	textbox: autoLog = True
0.0351 	EXP 	Imported study_word.xlsx as conditions, 15 conditions, 1 params
0.0385 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'study_word': 'keys', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.1257 	EXP 	text: height = 0.05000000000000001
0.1257 	EXP 	text: height = 0.05000000000000001
0.1257 	EXP 	text: height = 0.05000000000000001
0.1257 	EXP 	text: text = 'keys'
0.1257 	EXP 	slider: markerPos = None
0.1257 	EXP 	slider: markerPos = None
0.1257 	EXP 	text: autoDraw = True
0.1257 	EXP 	slider: autoDraw = True
8.1391 	EXP 	text: autoDraw = False
34.2406 	DATA 	Mouse: Right button down, pos=(307,154)
34.3280 	DATA 	Mouse:  Right button up, pos=(307,154)
34.9398 	DATA 	Mouse: Right button down, pos=(307,154)
35.0734 	DATA 	Mouse:  Right button up, pos=(307,154)
35.8734 	DATA 	Mouse: Left button down, pos=(302,153)
35.8901 	EXP 	slider: markerPos = 1.015625
35.9066 	EXP 	slider: markerPos = 1.015625
