isword,answer,key_resp.keys,key_resp.rt,,,,,,,,
,,,,,,,,,,,
0,left,left,1.2315062,,,,,,,,
0,left,left,1.5879138,,,,,,,,
0,left,right,2.779699,,,,,,,,
1,right,right,0.7150533,,,,,,,,0.892957329
1,right,left,0.0542886,,,,,,,,0.876078557
1,right,right,1.857673,,,,,,,,
1,right,right,0.6925729,,,,,,,,
1,right,right,0.7016213,,,,,,,,
1,right,right,0.5521265,,,,,,,,
0,left,left,0.7396887,,,,,,,,
0,left,left,0.895328,,,,,,,,
0,left,left,0.7928249,,,,,,,,
1,right,right,0.7700403,,,,,, ,,
1,right,right,0.961614,,,,,,,,
0,left,left,0.8852883,,,,,,,,
