key_resp.corr,key_resp.rt,,,,,seqRT,ranRT,,,,,
1,52.283041,,,,,52.283041,0.7028492,51.5801918,,,,
1,5.1966317,,,,,5.1966317,1.344331,3.8523007,,,,
1,4.2901442,,,,,4.2901442,0.8956353,3.3945089,,,,
1,4.241561,,,,,4.241561,1.2512648,2.9902962,,,0.109263148,
1,2.7300294,,,,,2.7300294,0.9474826,1.7825468,,,,
1,4.4076036,,,,,4.4076036,1.0470754,3.3605282,,,,
1,5.4900341,,,,,5.4900341,0.912756,4.5772781,,,1.084869239,0.109263148
1,2.1975702,,,,,2.1975702,0.5098113,1.6877589,,,0.975606091,
1,2.6597247,,,,,2.6597247,0.9522914,1.7074333,,,,
1,2.7391713,,,,,2.7391713,0.7520185,1.9871528,,,,
1,3.7549685,,,,,3.7549685,0.8496117,2.9053568,,,,
1,1.8286276,,,,,1.8286276,0.9564769,0.8721507,,,,
1,1.5184065,,,,,1.5184065,0.4482448,1.0701617,,,,
1,1.6335707,,,,,1.6335707,1.4897112,0.1438595,,,,
1,1.0312022,,,,,1.0312022,1.8904881,-0.8592859,,,,
0,0.3353966,,,,,0.3353966,0.5701748,-0.2347782,,,,
1,0.9202239,,,,,0.9202239,0.6953505,0.2248734,,,,
1,0.6472702,,,,,0.6472702,0.6412013,0.0060689,,,,
1,0.2854652,,,,,0.2854652,1.5144776,-1.2290124,,,,
1,0.8545838,,,,,0.8545838,0.5500164,0.3045674,,,,
1,0.2153842,,,,,0.2153842,1.1218239,-0.9064397,,,,
1,0.2837487,,,,,0.2837487,1.1773681,-0.8936194,,,,
1,0.2754955,,,,,0.2754955,0.4239448,-0.1484493,,,,
1,1.1626883,,,,,1.1626883,1.2583435,-0.0956552,,,,
1,0.3472875,,,,,0.3472875,0.967478,-0.6201905,,,,
1,0.8129669,,,,,0.8129669,1.1549333,-0.3419664,,,,
1,0.3094427,,,,,0.3094427,0.5318027,-0.22236,,,,
1,0.344701,,,,,0.344701,0.6903214,-0.3456204,,,,
1,0.305407,,,,,0.305407,0.8743807,-0.5689737,,,,
1,0.298776,,,,,0.298776,0.7544095,-0.4556335,,,,
1,0.281153,,,,,0.281153,0.9887581,-0.7076051,,,,
1,0.6156948,,,,,0.6156948,0.9561566,-0.3404618,,,,
1,0.2698062,,,,,0.2698062,0.6974132,-0.427607,,,,
1,0.302934,,,,,0.302934,0.8513569,-0.5484229,,,,
1,0.2746078,,,,,0.2746078,0.6486084,-0.3740006,,,,
1,0.4183522,,,,,0.4183522,1.6551066,-1.2367544,,,,
1,0.2916462,,,,,0.2916462,0.8283228,-0.5366766,,,,
1,0.3379432,,,,,0.3379432,0.6727318,-0.3347886,,,,
1,0.7620868,,,,,0.7620868,0.7768165,-0.0147297,,,,
1,0.2821943,,,,,0.2821943,1.0837641,-0.8015698,,,,
1,0.3686956,,,,,0.3686956,0.7815493,-0.4128537,,,,
1,0.3644105,,,,,0.3644105,0.525548,-0.1611375,,,,
1,1.039996,,,,,1.039996,0.8197418,0.2202542,,,,
1,0.4698366,,,,,0.4698366,1.168088,-0.6982514,,,,
1,0.2834151,,,,,0.2834151,0.9504119,-0.6669968,,,,
1,0.3212037,,,,,0.3212037,1.2212678,-0.9000641,,,,
1,0.3018219,,,,,0.3018219,1.0919699,-0.790148,,,,
