delay,,,,,,condition,,,,,key_resp.rt,,,,,,,,
0.1,,,,,,exp,,,,,1.4076533,,,,,,,,
0.1,,,,,,exp,,,,,1.3934722,,,,,exp,,expected,unexpected
0.1,,,,,,exp,,,,,3.301696,,,,,small,0.1,0.944745672,2.838788006
0.1,,,,,,exp,,,,,1.4819617,,,,,medium,0.4,1.038982419,1.742256018
0.1,,,,,,exp,,,,,0.4548203,,,,,large,0.7,0.998881859,1.222664747
0.1,,,,,,exp,,,,,0.4147876,,,,,,,2.98260995,5.803708771
0.1,,,,,,exp,,,,,0.595231,,,,,,,,
0.1,,,,,,exp,,,,,0.2852729,,,,,difference,,2.821098821,
0.1,,,,,,exp,,,,,0.3657658,,,,,,,,
0.1,,,,,,exp,,,,,0.8585528,,,,,,,,
0.1,,,,,,exp,,,,,0.4357556,,,,,,,,
0.1,,,,,,exp,,,,,0.2933335,,,,,,,,
0.1,,,,,,exp,,,,,0.8908396,,,,,,,,
0.1,,,,,,exp,,,,,0.2484747,,,,,,,,
0.1,,,,,,exp,,,,,0.2735546,,,,,,,,
0.1,,,,,,exp,,,,,0.2536609,,,,,,,,
0.1,,,,,,exp,,,,,0.5399859,,,,,,,,
0.1,,,,,,exp,,,,,0.5709317,,,,,,,,
0.1,,,,,,exp,,,,,0.3103979,,,,,,,,
0.1,,,,,,exp,,,,,0.6071855,,,,,,,,
0.1,,,,,,exp,,,,,0.5023309,,,,,,,,
0.1,,,,,,exp,,,,,0.1844168,,,,,,,,
0.1,,,,,,exp,,,,,0.5138958,,,,,,,,
0.1,,,,,,exp,,,,,0.267453,,,,,,,,
0.1,,,,,,exp,,,,,0.2721493,,,,,,,,
0.1,,,,,,exp,,,,,0.3168807,,,,,,,,
0.1,,,,,,exp,,,,,1.1758615,,,,,,,,
0.1,,,,,,exp,,,,,0.4122866,,,,,,,,
0.1,,,,,,exp,,,,,0.3109893,,,,,,,,
0.1,,,,,,exp,,,,,0.4552004,,,,,,,,
0.1,,,,,,exp,,,,,2.1768249,,,,,,,,
0.1,,,,,,exp,,,,,0.5540208,,,,,,,,
0.1,,,,,,exp,,,,,0.5103156,,,,,,,,
0.1,,,,,,exp,,,,,0.4663319,,,,,,,,
0.1,,,,,,exp,,,,,0.6020502,,,,,,,,
0.1,,,,,,exp,,,,,0.2976758,,,,,,,,
0.1,,,,,,exp,,,,,0.0649256,,,,,,,,
