thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[0.4166666666666667],[0.2825520833333333],[1],[0],[0],[1.8117625000304542],['target'],0,0,0,0,0.08603350003249943,,5,0.058576100040227175,0.08603350003249943,0.08603350003249943,0.057861700013745576,1.1003964000265114,1.8710074000409804,[0.4166666666666667],[0.2825520833333333],[1],[0],[0],[1.8117625000304542],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
1,0,1,[0.37890625],[0.07421875],[1],[0],[0],[2.047929100051988],['target'],1,0,1,0,1.9653186000068672,,10,1.939441700000316,1.9653186000068672,1.9653186000068672,0.06812320003518835,2.968747200036887,3.988317100040149,[0.37890625],[0.07421875],[1],[0],[0],[2.047929100051988],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
2,0,2,[0.22135416666666666],[0.10416666666666667],[1],[0],[0],[1.1455535999848507],['target'],2,0,2,0,4.042825700016692,,5,4.023553800012451,4.042825700016692,4.042825700016692,0.03490030003013089,5.050933300051838,5.169824900047388,[0.22135416666666666],[0.10416666666666667],[1],[0],[0],[1.1455535999848507],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
3,0,3,[-0.09244791666666667],[-0.046875],[1],[0],[0],[1.332090399984736],['target'],3,0,3,0,5.222249800048303,,5,5.203442800033372,5.222249800048303,5.222249800048303,0.033368100004736334,6.2346936000394635,6.53620500001125,[-0.09244791666666667],[-0.046875],[1],[0],[0],[1.332090399984736],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
4,0,4,[-0.057291666666666664],[0.3658854166666667],[1],[0],[0],[1.3143170999828726],['target'],4,0,4,0,6.633934500045143,,10,6.605312800034881,6.633934500045143,6.633934500045143,0.06886219995794818,7.634139600035269,7.920281700033229,[-0.057291666666666664],[0.3658854166666667],[1],[0],[0],[1.3143170999828726],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
5,0,5,[0.21223958333333334],[-0.4440104166666667],[1],[0],[0],[1.851178799988702],['target'],5,0,5,0,7.974557900044601,,5,7.9553527000243776,7.974557900044601,7.974557900044601,0.034729399951174855,8.983582600019872,9.807235300017055,[0.21223958333333334],[-0.4440104166666667],[1],[0],[0],[1.851178799988702],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
6,0,6,[-0.0234375],[0.109375],[1],[0],[0],[0.9912404000060633],['target'],6,0,6,0,9.908331400016323,,10,9.877535900042858,9.908331400016323,9.908331400016323,0.07004080002661794,,10.86948700004723,[-0.0234375],[0.109375],[1],[0],[0],[0.9912404000060633],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
7,0,7,[-0.1875],[0.22395833333333334],[1],[0],[0],[1.575990199984517],['target'],7,0,7,0,10.92700429999968,,5,10.9094665000448,10.92700429999968,10.92700429999968,0.03965550003340468,11.933308500039857,12.486173200013582,[-0.1875],[0.22395833333333334],[1],[0],[0],[1.575990199984517],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
8,0,8,[0.10416666666666667],[0.2838541666666667],[1],[0],[0],[1.741752700007055],['target'],8,0,8,0,12.547286400047597,,5,12.526074499997776,12.547286400047597,12.547286400047597,0.03966519999084994,13.554604500008281,14.26843470003223,[0.10416666666666667],[0.2838541666666667],[1],[0],[0],[1.741752700007055],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
9,0,9,[-0.01953125],[-0.390625],[1],[0],[0],[1.5326960000093095],['target'],9,0,9,0,14.384814900055062,,10,14.351699899998493,14.384814900055062,14.384814900055062,0.08301300002494827,15.399122500035446,15.885446100030094,[-0.01953125],[-0.390625],[1],[0],[0],[1.5326960000093095],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
10,0,10,[0.3763020833333333],[-0.2591145833333333],[1],[0],[0],[1.5203052000142634],['target'],10,0,10,0,15.96337490004953,,5,15.947895000048447,15.96337490004953,15.96337490004953,0.06212690001120791,16.966068000008818,17.468849800003227,[0.3763020833333333],[-0.2591145833333333],[1],[0],[0],[1.5203052000142634],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
11,0,11,[-0.15625],[0.27734375],[1],[0],[0],[1.6290154000162147],['target'],11,0,11,0,17.522370200022124,,5,17.505532400042284,17.522370200022124,17.522370200022124,0.036476300039794296,18.53238180000335,19.134963500022423,[-0.15625],[0.27734375],[1],[0],[0],[1.6290154000162147],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
12,0,12,[0.29296875],[0.19661458333333334],[1],[0],[0],[2.1002070999820717],['target'],12,0,12,0,19.183598900039215,,5,19.16809730004752,19.183598900039215,19.183598900039215,0.03289410000434145,20.19921550003346,21.26868140004808,[0.29296875],[0.19661458333333334],[1],[0],[0],[2.1002070999820717],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
13,0,13,[-0.3763020833333333],[0.22395833333333334],[1],[0],[0],[1.6892320000333712],['target'],13,0,13,0,21.328115200041793,,5,21.311285600007977,21.328115200041793,21.328115200041793,0.04239960003178567,22.332309200020973,23.00090820004698,[-0.3763020833333333],[0.22395833333333334],[1],[0],[0],[1.6892320000333712],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
