study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,T.started,text_2.started,textbox.started,text_3.started,mouse.started,T.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
marble,0,0,0,1.171875,4.5929353,,,,,,,,,,,,0,0,0,3,,,,,0.1164022,,0.0413293,0.1164022,0.1164022,4.6988058,1.171875,4.5929353,,,,,,,,,,,,,,,796158,1,2024-10-27_21h04.12.049,word priming,2024.2.1post4,59.88834419,2024-10-27 21h04.25.209535 +0530
book,1,1,0,3.109375,0.5949221,,,,,,,,,,,,0,1,1,0,,,,,4.7217977,,4.704632,4.7217977,4.7217977,5.3194086,3.109375,0.5949221,,,,,,,,,,,,,,,796158,1,2024-10-27_21h04.12.049,word priming,2024.2.1post4,59.88834419,2024-10-27 21h04.25.209535 +0530
poster,2,2,0,1,0.6868897,,,,,,,,,,,,0,2,2,14,,,,,5.3484248,,5.3295845,5.3484248,5.3484248,6.0384363,1,0.6868897,,,,,,,,,,,,,,,796158,1,2024-10-27_21h04.12.049,word priming,2024.2.1post4,59.88834419,2024-10-27 21h04.25.209535 +0530
cushion,3,3,0,1,0.307328,,,,,,,,,,,,0,3,3,1,,,,,6.0677224,,6.0483106,6.0677224,6.0677224,6.371449,1,0.307328,,,,,,,,,,,,,,,796158,1,2024-10-27_21h04.12.049,word priming,2024.2.1post4,59.88834419,2024-10-27 21h04.25.209535 +0530
board,4,4,0,1,0.8323363,,,,,,,,,,,,0,4,4,4,,,,,6.3945478,,6.3787823,6.3945478,6.3945478,7.2273127,1,0.8323363,,,,,,,,,,,,,,,796158,1,2024-10-27_21h04.12.049,word priming,2024.2.1post4,59.88834419,2024-10-27 21h04.25.209535 +0530
case,5,5,0,3.364583333,1.0984909,,,,,,,,,,,,0,5,5,10,,,,,7.2469096,,7.2318686,7.2469096,7.2469096,8.3467911,3.364583333,1.0984909,,,,,,,,,,,,,,,796158,1,2024-10-27_21h04.12.049,word priming,2024.2.1post4,59.88834419,2024-10-27 21h04.25.209535 +0530
laptop,6,6,0,1.463541667,0.5653831,,,,,,,,,,,,0,6,6,5,,,,,8.3673067,,8.3520802,8.3673067,8.3673067,8.9339119,1.463541667,0.5653831,,,,,,,,,,,,,,,796158,1,2024-10-27_21h04.12.049,word priming,2024.2.1post4,59.88834419,2024-10-27 21h04.25.209535 +0530
T-shirt,7,7,0,1.375,0.5780302,,,,,,,,,,,,0,7,7,7,,,,,8.9728934,,8.9575574,8.9728934,8.9728934,9.551775,1.375,0.5780302,,,,,,,,,,,,,,,796158,1,2024-10-27_21h04.12.049,word priming,2024.2.1post4,59.88834419,2024-10-27 21h04.25.209535 +0530
pastry,8,8,0,1.145833333,0.7060896,,,,,,,,,,,,0,8,8,9,,,,,9.5756582,,9.5600246,9.5756582,9.5756582,10.2819928,1.145833333,0.7060896,,,,,,,,,,,,,,,796158,1,2024-10-27_21h04.12.049,word priming,2024.2.1post4,59.88834419,2024-10-27 21h04.25.209535 +0530
mouse,9,9,0,1.734375,0.5679837,,,,,,,,,,,,0,9,9,8,,,,,10.3025238,,10.2876558,10.3025238,10.3025238,10.8710349,1.734375,0.5679837,,,,,,,,,,,,,,,796158,1,2024-10-27_21h04.12.049,word priming,2024.2.1post4,59.88834419,2024-10-27 21h04.25.209535 +0530
